itin,ttdate,pc2,pc1,occ,cap
2031,-15,0,0,19,30
10531,-60,0,0,24,52
6623,-30,.03846154,.03846154,21,26
8807,-10,-.050000001,0,26,40
465,-50,-.025641026,-.025641026,15,39
378,-15,.07692308,.07692308,18,26
4200,-46,.175,.175,6,40
8028,-17,.15000001,.15000001,29,40
9474,-13,-.10204082,.020408163,21,49
7854,-4,-.07692308,-.07692308,24,26
5915,-34,.03846154,.03846154,22,52
5187,-60,.033333335,.06666667,6,30
6764,-52,0,.033333335,15,30
7583,-51,-.050000001,0,15,40
3689,-59,-.01923077,-.01923077,20,52
6578,-42,-.07692308,-.07692308,6,26
5087,-22,.13333334,.13333334,19,30
3158,-8,.1,.1,16,30
10515,-59,.01923077,.01923077,23,52
9696,-32,-.03846154,-.03846154,8,52
6693,-12,.01923077,.01923077,41,52
1437,-53,-.0625,-.125,5,16
1544,-42,.1,.1,11,30
5177,-28,.16666667,.2,8,30
5311,-28,.059999999,.059999999,15,50
6433,-22,-.07692308,-.07692308,7,26
4079,-56,.050000001,.050000001,7,40
4605,-14,.1,.1,17,40
7505,-60,.25999999,.25999999,7,50
8261,-13,.01923077,.01923077,40,52
3382,-59,0,.050000001,11,40
1323,-30,.033333335,.033333335,17,30
2557,-24,0,0,36,52
677,-20,.22,.22,29,50
9703,-48,0,0,17,52
2767,-31,.025,.025,17,40
405,-26,.07692308,.07692308,18,26
7467,-4,.02,.02,46,50
6099,-11,.050000001,.050000001,26,40
5578,-49,-.050000001,0,2,40
4558,-42,-.07692308,-.07692308,4,26
5507,-33,-.025,.025,19,40
1950,-1,.1,.1,24,30
10081,-60,-.01923077,-.01923077,6,52
4482,-56,-.050000001,0,5,40
6571,-47,-.03846154,-.03846154,10,26
1355,-56,.033333335,.033333335,8,30
5785,-32,.075000003,.125,11,40
9097,-25,.21153846,.21153846,26,52
9152,-37,.17307693,.17307693,14,52
5942,-33,-.0625,-.0625,5,16
1894,-57,.039999999,.039999999,11,50
6353,-30,-.02,-.02,26,50
10147,-5,0,0,35,52
1876,-15,.02,.02,35,50
7881,-24,0,0,19,26
590,-15,0,0,19,26
8723,-12,.025,.075000003,29,40
1399,-30,-.0625,-.0625,5,16
10325,-55,-.025,.025,6,40
6041,-21,0,0,13,16
6084,-49,-.0625,-.125,6,16
10589,-40,0,0,24,50
4464,-6,.075000003,.125,20,40
332,-11,.125,.125,29,40
4823,-58,-.050000001,0,5,40
10540,-15,.01923077,.01923077,33,52
4481,-33,0,.050000001,12,40
10790,-51,-.07692308,-.07692308,12,26
6537,-19,-.03846154,-.03846154,11,26
1997,-26,.033333335,.033333335,26,30
197,-26,-.03846154,-.03846154,14,26
310,-15,.15000001,.15000001,26,40
464,-59,-.051282052,-.051282052,12,39
7439,-37,.025,.075000003,24,40
797,-60,.025,.075000003,1,40
447,-37,0,0,16,39
5188,-46,-.033333335,0,2,30
3740,-32,-.07692308,-.07692308,18,26
4970,-45,-.03846154,-.03846154,4,26
9939,-12,.03846154,.03846154,44,52
1123,-46,0,0,14,30
3084,-24,0,.055555556,28,36
9743,-16,.01923077,.01923077,25,52
6259,-59,0,.050000001,3,40
5523,-20,0,0,24,52
5553,-32,-.025,.025,11,40
9573,-47,.057692308,.057692308,24,52
8973,-60,0,.050000001,12,40
10500,-2,.15384616,.15384616,42,52
9382,-53,-.050000001,0,4,40
3987,-35,.050000001,.1,4,40
402,-34,-.07692308,-.07692308,13,26
5030,-28,.079999998,.059999999,23,50
9368,-36,.050000001,.1,16,40
5460,-51,0,0,5,30
8403,-55,-.03846154,-.03846154,10,26
10494,-54,.03846154,.03846154,6,52
5380,-14,.01923077,.01923077,26,52
3428,-54,-.03846154,-.03846154,15,52
3693,-43,.057692308,.057692308,28,52
6551,-50,-.07692308,-.07692308,9,26
3555,-3,0,.055555556,18,36
9825,-32,.096153848,.096153848,20,52
4495,-36,.050000001,.1,14,40
9185,-34,.059999999,.059999999,10,50
4750,-17,-.050000001,0,26,40
8804,-9,0,.050000001,37,40
8506,-13,-.03846154,-.03846154,15,26
614,-37,-.07692308,-.07692308,12,26
2475,-50,.025,.025,8,40
1055,-19,.079999998,.059999999,21,50
9264,-15,-.025,.025,19,40
3091,-17,-.027777778,.027777778,30,36
4998,-48,.027777778,.027777778,18,36
3599,-48,-.055555556,0,2,36
8137,-35,.25,.25,18,40
3208,-30,.13333334,.13333334,20,30
5026,-58,.039999999,.039999999,20,50
2618,-14,.050000001,.050000001,3,40
8675,-46,-.025,.025,13,40
6566,-12,-.07692308,-.07692308,21,26
4556,-3,-.07692308,-.07692308,11,26
5580,-36,-.025,.025,2,40
4619,-15,.125,.125,22,40
7713,-4,.03846154,.03846154,49,52
3776,0,.050000001,.050000001,35,40
5966,-29,0,0,7,16
5783,-17,.125,.175,24,40
96,-36,.025641026,.025641026,10,39
6813,-1,-.01923077,-.01923077,23,52
9151,-47,.057692308,.057692308,12,52
8133,-47,.1,.1,8,40
1302,-48,.059999999,.059999999,14,50
117,-46,.055555556,.055555556,32,36
3042,-1,0,0,14,36
3532,-51,-.050000001,0,6,40
8289,-25,0,0,37,52
4818,-55,-.050000001,0,8,40
3378,-37,.15000001,.2,20,40
3831,-10,-.03846154,-.03846154,6,26
2520,-49,-.03846154,-.03846154,21,52
7408,-28,-.050000001,0,26,40
10099,-11,.15000001,.2,31,40
7373,-54,.01923077,.01923077,29,52
8838,-8,-.025,.025,37,40
1445,-20,-.0625,-.0625,4,16
5208,-59,.033333335,.06666667,7,30
3112,-37,-.055555556,0,4,36
8336,-11,-.07692308,-.07692308,9,26
3439,-27,.01923077,.01923077,25,52
6577,-60,-.07692308,-.07692308,12,26
5496,-3,-.025,.025,34,40
3224,-34,0,0,20,30
7042,-60,-.07692308,-.07692308,11,26
979,-41,-.025641026,-.025641026,15,39
8889,-13,.02,0,43,50
4628,-55,.025,.025,3,40
10550,-39,.03846154,.03846154,23,52
6775,-54,.033333335,.06666667,8,30
6178,-28,-.07692308,-.07692308,8,26
720,-32,.079999998,.059999999,20,50
8065,-56,.34999999,.34999999,5,40
6580,-38,-.03846154,-.03846154,15,26
5668,-32,-.025,.025,9,40
10455,-8,-.01923077,-.01923077,12,52
10158,-24,.15384616,.15384616,29,52
10734,-31,-.03846154,-.03846154,16,26
4248,-2,.075000003,.075000003,22,40
8684,-58,-.050000001,0,13,40
5654,-54,-.050000001,0,1,40
9973,-7,-.03846154,-.03846154,47,52
10433,-32,-.01923077,-.01923077,14,52
7619,-49,-.050000001,0,17,40
9820,-23,-.03846154,-.03846154,21,52
9209,-52,.02,.02,19,50
7674,-27,.075000003,.1,12,40
8582,-14,.03846154,.03846154,18,26
8904,-27,.059999999,.039999999,26,50
9137,-56,-.03846154,-.03846154,9,52
5957,-32,.0625,.0625,2,16
4219,-42,.075000003,.075000003,7,40
3251,-34,0,0,32,50
9381,-42,0,.050000001,10,40
10710,-33,.059999999,.059999999,30,50
5083,-17,.06666667,.06666667,19,30
2504,-11,.01923077,.01923077,40,52
1286,-40,0,-.02,29,50
6996,-54,.1,.06666667,6,30
5259,-20,0,0,32,50
5616,-30,-.050000001,0,7,40
5295,-9,.059999999,.039999999,43,50
2308,-5,.2,.2,20,40
207,-45,.03846154,.03846154,9,26
1818,-8,.12,.1,34,50
10754,-27,0,0,25,26
6881,-43,-.03846154,-.03846154,11,52
1628,-16,.1,.1,27,50
5316,-37,.22,.22,29,50
8724,-3,-.025,.025,23,40
9420,-39,-.050000001,0,14,40
235,-12,.050000001,.1,4,40
8444,-13,-.03846154,-.03846154,19,26
6965,-15,.1,.1,19,30
8936,-38,.039999999,.02,19,50
5661,-8,0,.050000001,31,40
10581,-2,.02,.02,48,50
7962,-21,0,0,23,26
2921,-52,0,.055555556,8,36
5049,-36,.033333335,.033333335,9,30
6144,-19,.15000001,.15000001,30,40
4439,-59,-.050000001,0,0,40
2287,-40,.025,.025,12,40
1815,-25,.1,.1,31,50
653,-50,-.07692308,-.07692308,14,26
8003,-43,-.03846154,-.03846154,13,26
1327,-21,.033333335,.033333335,18,30
9839,-36,.03846154,.03846154,12,52
4934,-11,0,0,23,26
6030,0,-.0625,0,15,16
8561,-35,.050000001,.1,6,40
3142,-58,.033333335,.033333335,3,30
1888,-1,.039999999,.039999999,47,50
1052,-20,.12,.12,27,50
4610,-34,0,0,13,40
4816,-46,.025,.075000003,6,40
7718,-20,.01923077,.01923077,38,52
759,0,0,0,2,40
5676,-30,-.050000001,0,1,40
3503,-13,0,0,21,52
5379,-12,.01923077,.01923077,30,52
9609,-12,0,0,42,52
4798,-21,.125,.175,22,40
8053,-44,.050000001,.050000001,6,40
6575,-53,-.07692308,-.07692308,2,26
